[601446]: 5205ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:717 CSpxAudioStreamSession::AddRecognizer
[601446]: 5205ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0000024A3CF02B60
[601446]: 5205ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxRecognizer, h=0x0000024A3CF02B60, p=0x0000024A3CF02B60, tot=1
[601446]: 5205ms SPX_DBG_TRACE_SCOPE_EXIT:  speechapi_c_factory.cpp:160 recognizer_create_speech_recognizer_from_config
[601446]: 5205ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0000024A3CF030A8
[601446]: 5205ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=ISpxNamedProperties, h=0x0000024A3CF030A8, p=0x0000024A3CF030A8, tot=5
[601446]: 5206ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0000024A3CF030A8; name='SPEECH-RecoMode'; value=''
[601446]: 5206ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxPropertyBagImpl::SetStringValue: this=0x0000024A1F96BB88; name='SPEECH-RecoMode'; value='CONVERSATION'
[601446]: 5206ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:1112 CSpxAudioStreamSession::StartRecognitionAsync
[601446]: 5206ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:111 CSpxHandleTable::TrackHandle p=0x0000024A3CF03EC0
[601446]: 5206ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:121 CSpxHandleTable::TrackHandle class=CSpxAsyncOp<void>, h=0x0000024A3CF03EC0, p=0x0000024A3CF03EC0, tot=1
[704360]: 5206ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1115 *** CSpxAudioStreamSession::StartRecognitionAsync kicked-off THREAD started ***
[704360]: 5206ms SPX_TRACE_INFO:  thread_service.cpp:92 Started thread Background with ID [871326ll]
[871326]: 5206ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1172 CSpxAudioStreamSession::StartRecognizing
[871326]: 5206ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1173 [0000024A1F96BAA0]CSpxAudioStreamSession::StartRecognizing
[871326]: 5206ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3471 [0000024A1F96BAA0]CSpxAudioStreamSession::TryChangeState: recoKind/sessionState: 0/0 => 4/1
[871326]: 5206ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1193 [0000024A1F96BAA0]CSpxAudioStreamSession::StartRecognizing:  Now WaitForPumpSetFormatStart ...
[871326]: 5206ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:3083 CSpxAudioStreamSession::StartAudioPump
[871326]: 5206ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3084 [0000024A1F96BAA0]CSpxAudioStreamSession::StartAudioPump:  RecognitionKind 4 | m_audioPump [0000024A1F79F130]
[871326]: 5206ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1414 [0000024A1F96BAA0]CSpxAudioStreamSession::FireSessionStartedEvent: ...
[871326]: 5206ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1425 [0000024A1F96BAA0]CSpxAudioStreamSession::FireSessionStartedEvent: Firing SessionStarted event: SessionId: 3b739e8d8fde4f19aefd8946a0a7bd9a
[871326]: 5206ms SPX_TRACE_INFO:  thread_service.cpp:92 Started thread User with ID [202900ll]
[871326]: 5206ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:478 ISpxNamedProperties::GetStringValue: this=0x0000024A1F96BB88; name='SPEECH-MaxBufferSizeMs'; value='66000'
